n;varmodule;varname;pregunta;statement;values
1;csa;csa01;¿Conoce el concepto de Ciencia Abierta?;;"1= No lo conozco;2= Lo conozco, pero no participo en prácticas de Ciencia Abierta;3= Practico la Ciencia Abierta;4= Promuevo activamente la Ciencia Abierta"
2;csa;csa02_1;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Acceso abierto;"1= No; 2= Si"
3;csa;csa02_2;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Preregistro de hipótesis;"1= No; 2= Si"
4;csa;csa02_3;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Apertura de datos;"1= No; 2= Si"
5;csa;csa02_4;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Investigación reproducible;"1= No; 2= Si"
6;csa;csa02_5;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Herramientas como Software o repositorios en línea;"1= No; 2= Si"
7;csa;csa03_1;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Preregistro de hipótesis (o declarar estudio explícitamente como exploratorio);"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
8;csa;csa03_2;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Hacer que datos, materiales y protocolos de análisis estén disponibles en línea en el momento de la publicación;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
9;csa;csa03_3;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Reportar estudios, análisis y resultados completamente;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
10;csa;csa03_4;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Planificación a priori de un tamaño de muestra suficiente, preferiblemente sobre la base de análisis de potencia;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
11;csa;csa03_5;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Participar en la replicación y el examen de hallazgos publicados, en la medida que las circunstancias lo permitan;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
12;csa;csa03_6;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Hacer que los resultados de las réplicas fallidas de los hallazgos de otras personas (o propios) estén disponibles mediante el uso de recursos en línea;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
13;csa;csa04_1;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Preregistro de hipótesis (o declarar estudio explícitamente como exploratorio);"1= No; 2= Si"
14;csa;csa04_2;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Hacer que datos, materiales y protocolos de análisis estén disponibles en línea en el momento de la publicación;"1= No; 2= Si"
15;csa;csa04_3;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Reportar estudios, análisis y resultados completamente;"1= No; 2= Si"
16;csa;csa04_4;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Planificación a priori de un tamaño de muestra suficiente, preferiblemente sobre la base de análisis de potencia;"1= No; 2= Si"
17;csa;csa04_5;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Participar en la replicación y el examen de hallazgos publicados, en la medida que las circunstancias lo permitan;"1= No; 2= Si"
18;csa;csa04_6;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Hacer que los resultados de las réplicas fallidas de los hallazgos de otras personas (o propios) estén disponibles mediante el uso de recursos en línea;"1= No; 2= Si"
19;transp;transp01_01;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Compartir códigos u otros materiales de investigación en un repositorio en línea de acceso público;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
